# package_name	weekly_downloads
qunit	467587
pixi.js	456725
handlebars-utils	454464
inputmask	432196
node-vibrant	429439
vue-virtual-scroller	419169
net	417175
pikaday	416725
vega	411908
vega-lite	402289
hsluv	394076
diff2html	391486
utility	389836
phone	388145
vega-tooltip	387016
gridstack	383277
compromise	377943
hashids	366850
imagesloaded	366828
bytebuffer	366633
tether	366343
accounting	357752
http	348017
json	340080
chartjs-plugin-zoom	339756
jsoneditor	337098
pizzip	336685
material-icons	326825
docxtemplater	325478
dom-to-image	323732
vis	318168
mobile-detect	317754
lenis	316785
angular-sanitize	314830
sha	312598
maska	307939
videojs-ie8	304526
sjcl	300294
analytics	298911
vega-embed	297628
ebnf	294764
bulma	292171
velocity-animate	291157
bootstrap-datepicker	290792
aos	288885
lazysizes	288285
jquery-mousewheel	287419
pyodide	287103
randomcolor	281768
pubnub	281677
uplot	279559
toastr	275232
jsonlint	273971
angular-animate	272355
quasar	272072
array-flat-polyfill	271266
bootstrap-vue	268623
plyr	256760
skills	255881
raphael	254656
recordrtc	253519
fullcalendar	248604
medium-zoom	244315
cashaddrjs	239428
tone	236225
handsontable	231809
pdfobject	226521
d3-tip	225538
arc	217248
jquery-migrate	210578
paho-mqtt	206482
link	206169
feather-icons	203237
mathjax	199602
github-markdown-css	197798
insight	196918
colour	192945
what-input	192097
swagger-ui	188134
mathlive	187910
summernote	186897
braintree	185711
bootstrap-slider	185302
parse	184000
deck.gl	182862
autocomplete.js	181142
colorbrewer	179066
fmin	178928
daterangepicker	178222
vue-scrollto	175354
triplesec	173117
angular-cookies	168321
angular-route	164564
marked-highlight	163432
truncate	163053
twemoji	161373
exif-js	159791
quote	157551
world-countries	154866
fetch	152707
dagre-d3	148853
babel	148310
zepto	147606
knockout	146557
sprintf	145474
angular-messages	144398
foundation-sites	142261
csslint	140197
typed.js	139157
vue-resource	138870
angular-translate	137580
simplex-noise	135111
bootstrap-select	134826
sweetalert	134747
angular-resource	134330
topojson	133817
bootstrap-colorpicker	133543
chartist	131788
es-module-shims	131500
beautify	130585
ng-file-upload	129453
vue-the-mask	128532
documentation	125227
layout	125123
ol-ext	122262
qr-scanner	120122
phaser	119475
instantsearch.css	119121
wnumb	118800
user	118433
jquery-touchswipe	117978
langs	117500
vue-apexcharts	116550
js-confetti	115905
openseadragon	114706
markdown	114054
lil-gui	112934
svg4everybody	112616
magnific-popup	112271
dropbox	110379
angular-ui-router	109229
flickity	108962
lightgallery	108435
tachyons	106951
ffmpeg	105517
sparkline	105359
sha256	105248
jstree	104753
tinycolor	101309
boxicons	100231
paper	100127
dotty	99239
v-mask	98364
parse-address	97552
numeric	95644
qrious	94171
vkbeautify	94041
fastclick	94026
angular-aria	93909
lzma	92153
sifter	91716
flubber	91687
jquery-serializejson	90217
vanilla-lazyload	90057
pwacompat	89930
tiny-slider	89610
croppie	89280
eosjs-ecc	88668
kefir	88520
sigma	86264
run	85278
modernizr	84725
smooth-dnd	82941
ion-rangeslider	82800
jquery-ui-touch-punch	79686
jsuites	78961
jquery-form	78398
angular-touch	78281
cookieconsent	78273
test	77687
angular-local-storage	75436
bootstrap-table	73487
odometer	72572
planck	72570
angular-moment	70729
angular-material	70248
blockly	69498
micromodal	68945
loadash	68386
modal	67669
pouchdb	67558
php-date-formatter	66629
round	66393
bootstrap-switch	65464
jquery-datetimepicker	64866
context	64417
bootstrap-tokenfield	64221
js-combinatorics	63865
chunk	63787
pouchdb-find	63221
